mass,log_mass,year,reclat,reclong,fall,recclass
11.1,2.4069451083182885,1994,-84.0,168.0,Found,H5
238.5,5.474369310328396,1987,-76.18333,157.16667,Found,L6
9.3,2.2300144001592104,2007,0.0,0.0,Found,LL5
33.4,3.5085558999826545,1999,-84.0,168.0,Found,LL5
57.2,4.046553898385752,2006,0.0,0.0,Found,L6
26.95,3.2939832973550063,1998,0.0,0.0,Found,H3
4.4,1.4816045409242156,2003,-72.935278,75.316667,Found,L4
8.84,2.179286876649552,1998,0.0,0.0,Found,L3
36.65,3.6014134283326604,2006,-72.996944,75.217778,Found,L5
10.7,2.3702437414678603,1985,-76.82728,156.16645,Found,CM2
348.9,5.8547853481927286,1997,-84.0,168.0,Found,LL5
731.0,6.594413459749778,1988,-84.26679,161.33674,Found,H4
7.4,2.0014800002101243,2007,0.0,0.0,Found,L6
386.8,5.957907763579139,1987,-72.0,26.0,Found,H4
4.74,1.556037135706985,1979,-71.5,35.66667,Found,H3
1.22,0.19885085874516517,2003,-72.773611,75.320278,Found,L6
1.6,0.47000362924573563,2007,0.0,0.0,Found,H6
39.71,3.6816030451431603,1998,0.0,0.0,Found,H4
58.84,4.074821895733237,1979,-71.5,35.66667,Found,L6
320.3,5.769258056615112,2006,19.79072,56.50055,Found,L6
126.6,4.841032509710076,1990,-84.59528,162.31384,Found,L5
4.42,1.4861396960896067,1979,-71.5,35.66667,Found,E3
46500.0,10.747207591575448,1933,38.65,-94.33333,Found,L6
